idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo925,geo850,nieve,geo700
C629X,-15.764167,2026-04-13T09:00:00+0000,0.0,10.0,2.6,1.0,118.0,27.816389,14.0,PUERTO DE MOGÁN,56.0,15.2,20.2,20.2,,,,,11.1,,,,,,,51.0,,,,,,,,,,,,
6268Y,-3.529267,2026-04-13T10:00:00+0000,0.0,3.0,14.9,7.3,298.0,36.724011,311.0,MOTRIL PUERTO NAÚTICO,27.0,19.2,20.2,20.3,1013.9,2.0,,1014.3,0.6,,15.0,,,,,,,,,,,,,,,,,
6291B,-2.81305,2026-04-13T10:00:00+0000,0.0,98.0,,,,36.774719,,EL EJIDO (AYUNTAMIENTO - AUTOMATICA),19.0,19.7,20.9,20.9,,,,,,,,,,,,,,,,,,,,,,,,
6293X,-2.701667,2026-04-13T10:00:00+0000,0.0,3.0,8.7,5.1,301.0,36.68694,317.0,ROQUETAS DE MAR-FARO SABINAR,22.0,18.4,21.2,21.3,1011.9,1.3,17.7,1012.3,-1.4,20.0,20.0,60.0,19.8,,,,,,0.0,,,,,,,,,
C619Y,-15.8075,2026-04-13T10:00:00+0000,0.0,13.0,12.2,6.0,58.0,28.001111,54.0,LA ALDEA DE SAN NICOLAS,47.0,18.5,20.9,20.9,1021.3,1.5,19.6,,,,24.0,50.0,21.1,,,,,,,,,,,,,,,
C629X,-15.764167,2026-04-13T10:00:00+0000,0.0,10.0,4.0,1.7,151.0,27.816389,134.0,PUERTO DE MOGÁN,54.0,19.5,20.5,21.0,,,,,10.9,,,,,,,52.0,,,,,,,,,,,,
C689E,-15.595833,2026-04-13T10:00:00+0000,0.0,6.0,4.8,2.2,267.0,27.735833,263.0,MASPALOMAS,54.0,19.3,20.0,20.2,,0.7,,,10.4,,24.0,,,,,,,,,,,,,,,,,
6267X,-3.578623,2026-04-13T11:00:00+0000,0.0,20.0,13.0,6.2,6.0,36.748335,340.0,SALOBREÑA,33.0,19.8,20.8,20.8,,,,,,,,,,,,,,,,,,,,,,,,
6268Y,-3.529267,2026-04-13T11:00:00+0000,0.0,3.0,14.5,8.6,293.0,36.724011,285.0,MOTRIL PUERTO NAÚTICO,25.0,20.2,21.1,21.1,1013.4,1.8,,1013.8,0.2,,16.0,,,,,,,,,,,,,,,,,
6291B,-2.81305,2026-04-13T11:00:00+0000,0.0,98.0,,,,36.774719,,EL EJIDO (AYUNTAMIENTO - AUTOMATICA),15.0,20.8,21.7,21.8,,,,,,,,,,,,,,,,,,,,,,,,
6293X,-2.701667,2026-04-13T11:00:00+0000,0.0,3.0,11.1,3.7,349.0,36.68694,297.0,ROQUETAS DE MAR-FARO SABINAR,18.0,21.2,22.5,22.8,1012.0,1.0,18.4,1012.4,-3.0,20.0,16.0,60.0,19.8,,,,,,0.0,,,,,,,,,
6325O,-2.356931,2026-04-13T11:00:00+0000,0.0,21.0,14.9,8.5,310.0,36.846344,320.0,ALMERÍA/AEROPUERTO,20.0,19.9,21.4,21.5,1011.1,1.0,31.8,1013.6,-2.5,,9.0,,,,,,,,,,,,,,,,,
7002Y,-1.586878,2026-04-13T11:00:00+0000,0.0,32.0,13.2,6.4,316.0,37.417241,342.0,ÁGUILAS,19.0,18.9,20.4,20.6,1009.2,1.8,26.3,1013.0,-4.2,20.0,13.0,59.0,19.3,,,,,,0.0,,,,,,,,,
C029O,-13.600279,2026-04-13T11:00:00+0000,0.0,14.0,17.0,11.8,360.0,28.951943,10.0,LANZAROTE/AEROPUERTO,47.0,19.2,21.0,21.1,1019.2,1.5,24.3,1023.7,9.3,,111.0,60.0,,,,,,,,,,,,,,,,
C129V,-17.841111,2026-04-13T11:00:00+0000,0.0,19.0,15.5,10.2,24.0,28.455,40.0,FUENCALIENTE-SALINAS,53.0,19.1,20.0,20.2,,,,,,,,,,,,,,,,,,,,,,,,
C319W,-17.306389,2026-04-13T11:00:00+0000,0.0,190.0,4.0,2.6,211.0,28.054167,220.0,VALLEHERMOSO-DAMA,56.0,20.0,20.8,20.8,,,,,,,,,,,,,,,,,,,,,,,,
C429I,-16.561158,2026-04-13T11:00:00+0000,0.0,64.0,20.1,13.6,60.0,28.046992,60.0,TENERIFE/SUR,46.0,19.7,21.0,21.4,1013.4,0.7,23.6,1022.5,8.9,,6.0,60.0,,,,,,,,,,,,,,,,
C619Y,-15.8075,2026-04-13T11:00:00+0000,0.0,13.0,16.9,7.4,62.0,28.001111,38.0,LA ALDEA DE SAN NICOLAS,45.0,20.5,20.7,21.4,1021.0,2.5,21.9,,,,24.0,60.0,21.0,,,,,,,,,,,,,,,
C628B,-15.77,2026-04-13T11:00:00+0000,0.0,318.0,8.3,5.2,196.0,27.908889,325.0,SAN NICOLAS T.-TASARTE/COPARLITA,50.0,17.6,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,
C629X,-15.764167,2026-04-13T11:00:00+0000,0.0,10.0,3.5,2.6,202.0,27.816389,204.0,PUERTO DE MOGÁN,52.0,19.7,20.4,20.7,,,,,10.2,,,,,,,84.0,,,,,,,,,,,,
C639M,-15.575556,2026-04-13T11:00:00+0000,0.0,45.0,5.5,2.8,244.0,27.758056,270.0,SAN BARTOLOME TIRAJANA-C.INSULAR TURISMO,55.0,20.1,20.1,21.0,,,,,,,,,,,,,,,,,,,,,,,,
C689E,-15.595833,2026-04-13T11:00:00+0000,0.0,6.0,5.2,3.6,248.0,27.735833,270.0,MASPALOMAS,55.0,18.7,20.1,20.1,,0.8,,,10.8,,16.0,,,,,,,,,,,,,,,,,
C839X,-13.51021,2026-04-13T11:00:00+0000,0.0,19.0,15.0,10.5,34.0,29.229585,35.0,TEGUISE LA GRACIOSA-HELIPUERTO,50.0,17.8,20.0,20.6,1020.1,1.4,19.5,,,,8.0,49.0,25.2,,,,,,,,,,,,,,,
6058I,-5.154988,2026-04-13T12:00:00+0000,0.0,19.0,10.8,5.0,244.0,36.416954,254.0,ESTEPONA,34.0,18.4,20.3,20.3,1017.3,1.0,20.7,1019.5,3.9,20.0,11.0,60.0,16.5,,,,,,0.0,,,,,,,,,
6268Y,-3.529267,2026-04-13T12:00:00+0000,0.0,3.0,16.0,7.1,306.0,36.724011,311.0,MOTRIL PUERTO NAÚTICO,23.0,21.1,21.9,22.4,1013.5,2.2,,1013.9,-0.3,,15.0,,,,,,,,,,,,,,,,,
6277C,-3.030833,2026-04-13T12:00:00+0000,0.0,25.5,4.8,2.4,223.0,36.748056,237.0,ADRA FARO,38.0,18.7,20.0,20.1,1010.4,0.4,,1013.6,5.3,,17.0,,,,,,,,,,,,,,,,,
6291B,-2.81305,2026-04-13T12:00:00+0000,0.0,98.0,,,,36.774719,,EL EJIDO (AYUNTAMIENTO - AUTOMATICA),15.0,22.0,22.4,22.6,,,,,,,,,,,,,,,,,,,,,,,,
6293X,-2.701667,2026-04-13T12:00:00+0000,0.0,3.0,11.8,5.4,247.0,36.68694,275.0,ROQUETAS DE MAR-FARO SABINAR,47.0,20.1,20.3,23.2,1012.3,1.2,19.6,1012.7,8.7,20.0,7.0,60.0,19.9,,,,,,0.0,,,,,,,,,
6325O,-2.356931,2026-04-13T12:00:00+0000,0.0,21.0,16.0,10.9,310.0,36.846344,320.0,ALMERÍA/AEROPUERTO,20.0,21.1,21.9,22.3,1010.6,1.4,33.0,1013.1,-2.2,,6.0,,,,,,,,,,,,,,,,,
6340X,-1.828511,2026-04-13T12:00:00+0000,0.0,28.5,14.4,7.0,320.0,37.169278,282.0,GARRUCHA,20.0,20.0,20.3,20.6,,,,,,,,,,,,,,,,,,,,,,,,
7002Y,-1.586878,2026-04-13T12:00:00+0000,0.0,32.0,13.1,6.5,344.0,37.417241,6.0,ÁGUILAS,18.0,20.4,20.8,21.1,1009.0,1.9,25.5,1012.8,-4.5,20.0,18.0,60.0,19.8,,,,,,0.0,,,,,,,,,
8416Y,-0.366387,2026-04-13T12:00:00+0000,0.0,13.0,7.2,3.5,341.0,39.480557,335.0,VALENCIA DT,30.0,19.0,20.8,20.8,1008.8,1.3,,1010.7,2.7,,41.0,,,,,,,,,,,,,,,,,
C029O,-13.600279,2026-04-13T12:00:00+0000,0.0,14.0,19.0,14.0,360.0,28.951943,20.0,LANZAROTE/AEROPUERTO,46.0,20.9,21.7,22.0,1018.8,1.3,25.6,1023.3,9.6,,182.0,60.0,,,,,,,,,,,,,,,,
C239N,-14.023056,2026-04-13T12:00:00+0000,0.0,1.0,13.5,7.2,31.0,28.208611,27.0,TUINEJE-PUERTO GRAN TARAJAL,48.0,19.4,20.8,20.8,,,,,,,,,,,,,,,,,,,,,,,,
C249I,-13.863055,2026-04-13T12:00:00+0000,0.0,25.0,14.4,11.5,20.0,28.44472,20.0,FUERTEVENTURA/AEROPUERTO,59.0,19.7,20.2,20.5,1018.1,0.7,21.7,1023.5,11.9,13.2,2.0,60.0,,,,,,,,,,,,,,,,
C329Z,-17.111389,2026-04-13T12:00:00+0000,0.0,15.0,9.4,2.6,294.0,28.089722,17.0,SAN SEBASTIÁN DE LA GOMERA,46.0,19.9,20.5,20.7,1020.8,,,1022.6,8.5,,,,,,,125.0,,,,,,,,,,,,
C429I,-16.561158,2026-04-13T12:00:00+0000,0.0,64.0,19.0,13.1,70.0,28.046992,70.0,TENERIFE/SUR,46.0,20.8,21.4,21.6,1013.5,1.3,24.5,1022.5,9.3,,6.0,60.0,,,,,,,,,,,,,,,,
C449C,-16.255282,2026-04-13T12:00:00+0000,0.0,35.61,8.7,3.3,33.0,28.463337,63.0,SANTA CRUZ DE TENERIFE ,48.0,19.0,20.0,20.1,1018.3,1.4,24.2,1023.9,8.7,20.0,35.0,42.0,21.3,,,,,,0.0,,,,,20.5,,,,
C619Y,-15.8075,2026-04-13T12:00:00+0000,0.0,13.0,15.5,9.2,37.0,28.001111,20.0,LA ALDEA DE SAN NICOLAS,44.0,20.6,20.9,21.3,1020.9,2.7,23.7,,,,20.0,60.0,21.1,,,,,,,,,,,,,,,
C628B,-15.77,2026-04-13T12:00:00+0000,0.0,318.0,7.4,5.2,196.0,27.908889,190.0,SAN NICOLAS T.-TASARTE/COPARLITA,48.0,21.3,22.3,22.3,,,,,,,,,,,,,,,,,,,,,,,,
C629X,-15.764167,2026-04-13T12:00:00+0000,0.0,10.0,3.9,2.2,209.0,27.816389,200.0,PUERTO DE MOGÁN,52.0,19.8,20.6,20.7,,,,,10.4,,,,,,,90.0,,,,,,,,,,,,
C689E,-15.595833,2026-04-13T12:00:00+0000,0.0,6.0,6.2,3.1,257.0,27.735833,233.0,MASPALOMAS,54.0,19.5,20.6,20.6,,0.9,,,11.0,,20.0,,,,,,,,,,,,,,,,,
