DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24,spi_1,spi_3,spi_6,spi_9,spi_12,spi_24,duration_spei_1,duration_spei_3,duration_spei_6,duration_spei_9,duration_spei_12,duration_spei_24,intensity_spei_1,intensity_spei_3,intensity_spei_6,intensity_spei_9,intensity_spei_12,intensity_spei_24,duration_spi_1,duration_spi_3,duration_spi_6,duration_spi_9,duration_spi_12,duration_spi_24,intensity_spi_1,intensity_spi_3,intensity_spi_6,intensity_spi_9,intensity_spi_12,intensity_spi_24
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-23,0.21,,,,,,-0.11,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-01,-0.2,,,,,,-0.35,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-09,-0.84,,,,,,-0.95,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-16,-1.07,,,,,,-1.09,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-23,-1.46,,,,,,-1.55,,,,,,1,,,,,,1.46,,,,,,1,,,,,,1.55,,,,,
1961-03-01,-1.95,,,,,,-1.52,,,,,,2,,,,,,3.41,,,,,,2,,,,,,3.07,,,,,
1961-03-09,-2,,,,,,-1.54,,,,,,3,,,,,,5.41,,,,,,3,,,,,,4.61,,,,,
1961-03-16,-1.94,,,,,,-1.19,,,,,,4,,,,,,7.35,,,,,,0,,,,,,0,,,,,
1961-03-23,-2.19,-1.65,,,,,-1.06,-1.62,,,,,5,1,,,,,9.54,1.65,,,,,0,1,,,,,0,1.62,,,,
1961-04-01,-1.54,-1.9,,,,,-0.92,-1.79,,,,,6,2,,,,,11.08,3.55,,,,,0,2,,,,,0,3.41,,,,
1961-04-09,-1.08,-2.02,,,,,-0.53,-1.99,,,,,0,3,,,,,0,5.57,,,,,0,3,,,,,0,5.4,,,,
1961-04-16,-1.22,-2.17,,,,,-0.54,-1.8,,,,,0,4,,,,,0,7.74,,,,,0,4,,,,,0,7.2,,,,
1961-04-23,-1.36,-2.51,,,,,-0.67,-2.08,,,,,1,5,,,,,1.36,10.25,,,,,0,5,,,,,0,9.28,,,,
1961-05-01,-1.49,-2.73,,,,,-0.44,-1.91,,,,,2,6,,,,,2.85,12.98,,,,,0,6,,,,,0,11.19,,,,
1961-05-09,-1,-2.41,,,,,-0.4,-1.62,,,,,0,7,,,,,0,15.39,,,,,0,7,,,,,0,12.81,,,,
1961-05-16,-1.32,-2.6,,,,,-1.24,-1.67,,,,,1,8,,,,,1.32,17.99,,,,,0,8,,,,,0,14.48,,,,
1961-05-23,-0.79,-2.44,,,,,-0.57,-1.41,,,,,0,9,,,,,0,20.43,,,,,0,9,,,,,0,15.89,,,,
1961-06-01,-0.13,-1.73,,,,,-0.45,-1.15,,,,,0,10,,,,,0,22.16,,,,,0,0,,,,,0,0,,,,
