idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo925,geo850,nieve,geo700
0009X,0.963335,2026-04-13T00:00:00+0000,1.2000000000000002,406.0,11.8,6.6,273.0,41.213892,270.0,ALFORJA,93.0,5.8,5.8,6.5,,,,,,,,,,,,,,,,,,,,,,,,
0016A,1.163611,2026-04-13T00:00:00+0000,0.2,71.0,12.4,8.6,290.0,41.145,280.0,REUS  AEROPUERTO,81.0,9.5,9.6,10.5,999.0,0.8,8.7,1008.2,6.5,16.1,2.0,0.0,,,,,,,,,,,,,,,,
0034X,1.260838,2026-04-13T00:00:00+0000,0.6000000000000001,233.0,,,,41.293053,,VALLS,90.0,8.9,8.9,9.0,,,,,,,,,,,,,,,,,,,,,,,,
0042Y,1.249167,2026-04-13T00:00:00+0000,0.6000000000000001,55.0,5.0,2.0,304.0,41.123892,315.0,TARRAGONA  FAC. GEOGRAFIA,90.0,9.6,9.6,10.1,,,,,,,,,,,,,,,,,,,,,,,,
0061X,1.519269,2026-04-13T00:00:00+0000,0.6000000000000001,632.0,6.2,2.4,314.0,41.417052,302.0,PONTONS,85.0,6.2,6.2,6.8,,,,,,,,,,,,,,,,,,,,,,,,
0066X,1.676942,2026-04-13T00:00:00+0000,0.6000000000000001,177.0,4.8,2.0,3.0,41.330279,345.0,VILAFRANCA DEL PENEDÈS,91.0,10.3,10.3,10.6,,,,,,,,,,,,,,,,,,,,,,,,
0073X,1.852626,2026-04-13T00:00:00+0000,0.8,58.0,6.4,2.9,322.0,41.243784,322.0,SITGES  VALLCARCA,90.0,10.8,10.8,10.9,,,,,,,,,,,,,,,,,,,,,,,,
0076,2.069995,2026-04-13T00:00:00+0000,1.7999999999999998,4.0,6.2,3.8,320.0,41.292781,340.0,BARCELONA  AEROPUERTO,91.0,11.4,11.5,12.0,1006.4,0.4,13.0,1007.0,10.0,12.5,6.0,0.0,,,,,,,,,,,,,,,,
0092X,1.857494,2026-04-13T00:00:00+0000,1.0,682.0,3.9,2.7,66.0,42.101388,50.0,BERGA  INSTITUTO,88.0,8.8,8.8,9.4,,,,,,,,,,,,,,,,,,,,,,,,
0106X,1.872504,2026-04-13T00:00:00+0000,0.6000000000000001,361.0,3.5,1.3,290.0,41.866387,280.0,BALSARENY,92.0,8.9,8.9,9.1,,,,,,,,,,,,,,,,,,,,,,,,
0114X,2.026561,2026-04-13T00:00:00+0000,0.4,700.0,3.0,0.7,194.0,42.007057,292.0,PRATS DE LLUÇANÈS,100.0,8.2,8.2,8.4,,,,,,,,,,,,,,,,,,,,,,,,
0120X,2.09539,2026-04-13T00:00:00+0000,0.8,742.0,3.3,1.5,275.0,41.813278,272.0,MOIÀ,99.0,7.1,7.1,7.5,,,,,,,,,,,,,,,,,,,,,,,,
0149X,1.84028,2026-04-13T00:00:00+0000,0.8,291.0,7.6,3.2,292.0,41.719881,286.0,MANRESA,88.0,9.2,9.2,9.7,973.8,,10.5,1008.4,7.3,10.0,,0.0,15.0,0.0,1.0,,,,,,,,,,,,,
0158X,1.839223,2026-04-13T00:00:00+0000,0.6000000000000001,738.0,,,,41.594444,,MONTSERRAT,93.0,8.0,8.0,8.3,,,,,,,,,,,,,,,,,,,,,,,,
0171X,1.617778,2026-04-13T00:00:00+0000,1.0000000000000002,313.0,4.9,1.1,289.0,41.578889,273.0,IGUALADA,73.0,8.3,8.4,9.0,,,,,3.8,,,,,,,57.0,,,,,,,,,,,,
0194D,1.885,2026-04-13T00:00:00+0000,0.2,647.0,,,,41.408192,,CORBERA  PUIG D?AGULLES,100.0,6.5,6.5,6.7,,,,,,,,,,,,,,,,,,,,,,,,
0201D,2.200001,2026-04-13T00:00:00+0000,0.6000000000000001,26.0,5.1,1.6,325.0,41.390555,349.0,BARCELONA  PORT OLÍMPIC,91.0,12.2,12.5,12.6,,,,,11.1,,,,,,,71.0,,,,,,,,,,,,
0201X,2.173886,2026-04-13T00:00:00+0000,0.6000000000000001,11.0,3.8,1.9,319.0,41.374998,317.0,BARCELONA  DRASSANES,84.0,12.6,12.6,12.8,,,,,,,,,,,,,,,,,,,,,,,,
0222X,2.168412,2026-04-13T00:00:00+0000,0.0,175.0,3.1,1.4,120.0,41.612663,240.0,CALDES DE MONTBUI,94.0,11.1,11.1,11.3,,,,,,,,,,,,,,,,,,,,,,,,
0244X,2.362637,2026-04-13T00:00:00+0000,0.2,56.0,2.5,0.8,118.0,41.504893,112.0,VILASSAR DE DALT,93.0,12.3,12.3,12.6,,,,,,,,,,,,,,,,,,,,,,,,
0260X,2.431023,2026-04-13T00:00:00+0000,0.6000000000000001,936.0,,,,41.760064,,FONTMARTINA,95.0,8.2,8.2,8.3,,,,,,,,,,,,,,,,,,,,,,,,
0281Y,2.805112,2026-04-13T00:00:00+0000,1.0,45.0,7.2,2.1,312.0,41.677054,345.0,BLANES  JARDIN BOTANICO,89.0,9.9,9.9,10.3,,,,,,,,,,,,,,,,,,,,,,,,
0312X,2.364353,2026-04-13T00:00:00+0000,0.2,851.0,1.3,0.5,346.0,42.258444,162.0,SANT PAU DE SEGURIES,98.0,7.7,7.7,7.9,,,,,,,,,,,,,,,,,,,,,,,,
0320I,2.102774,2026-04-13T00:00:00+0000,0.4,1151.0,7.0,3.2,310.0,42.316878,310.0,PLANOLES,83.0,3.9,3.9,4.0,,,,,,,,,,,,,,,,,,,,,,,,
0360X,2.551007,2026-04-13T00:00:00+0000,0.6000000000000001,337.0,1.4,0.5,18.0,42.052837,227.0,LES PLANES D?HOSTOLES,98.0,10.8,10.8,10.9,,,,,,,,,,,,,,,,,,,,,,,,
0363X,2.513329,2026-04-13T00:00:00+0000,0.2,810.0,4.6,2.6,351.0,41.880833,347.0,SANT HILARI,94.0,7.7,7.7,7.9,,,,,,,,,,,,,,,,,,,,,,,,
0367,2.763329,2026-04-13T00:00:00+0000,0.1,143.0,6.2,3.1,40.0,41.911665,20.0,GIRONA  AEROPUERTO,100.0,8.0,8.1,8.5,991.2,0.3,9.6,1006.8,8.1,,4.0,0.0,,,,,,,,,,,,,,,,
0370E,2.819442,2026-04-13T00:00:00+0000,0.2,76.0,4.6,1.8,355.0,41.972333,0.0,GIRONA  PARC DEL MIGDIA,86.0,8.6,8.7,8.7,,,,,,,,,,,,,,,,,,,,,,,,
0372C,2.763611,2026-04-13T00:00:00+0000,0.2,157.0,2.1,0.7,118.0,42.104444,104.0,PORQUERES,93.0,8.1,8.4,8.5,,,,,7.3,,,,,,,30.0,,,,,,,,,,,,
0385X,3.201389,2026-04-13T00:00:00+0000,2.0,1.0,6.7,3.3,335.0,42.053888,337.0,L?ESTARTIT,83.0,9.5,9.5,9.7,,,,,,,,,,,,,,,,,,,,,,,,
0394X,2.471827,2026-04-13T00:00:00+0000,0.4,350.0,2.7,0.2,7.0,42.210555,102.0,VALL DE BIANYA,92.0,10.0,10.1,10.6,,,,,,,,,,,,,,,,,,,,,,,,
0411X,3.093053,2026-04-13T00:00:00+0000,0.6000000000000001,2.0,7.9,3.8,339.0,42.224834,332.0,CASTELLO D?EMPURIES,86.0,8.9,8.9,9.2,,,,,,,,,,,,,,,,,,,,,,,,
0413A,2.75558,2026-04-13T00:00:00+0000,0.2,355.0,6.4,3.0,92.0,42.386925,62.0,MAÇANET DE CABRENYS,90.0,7.4,7.5,8.2,,,,,,,,,,,,,,,,,,,,,,,,
0429X,2.960328,2026-04-13T00:00:00+0000,0.2,45.0,11.4,4.9,28.0,42.259082,15.0,FIGUERES  ELS ASPRES,73.0,9.0,9.2,9.2,,,,,,,,,,,,,,,,,,,,,,,,
0433D,3.315556,2026-04-13T00:00:00+0000,0.0,75.0,,19.2,277.0,42.31904,,EVC_CABO DE CREUS,78.0,9.3,9.4,9.8,992.9,,,,5.8,,,,,,,688.0,,,,,,,,,,,,
1002Y,-1.542961,2026-04-13T00:00:00+0000,0.0,183.0,1.9,0.2,203.0,43.135722,145.0,BAZTÁN  IRURITA,98.0,4.8,5.4,5.4,,0.2,,,5.1,,20.0,,,,,,,,,,,,,,,,,
1010X,-1.675786,2026-04-13T00:00:00+0000,0.4,54.0,0.6,0.0,90.0,43.278691,312.0,BERA,95.0,6.8,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
1012P,-1.796536,2026-04-13T00:00:00+0000,1.8,120.0,3.4,1.0,207.0,43.326407,242.0,IRUN,93.0,7.7,7.7,8.0,,,,,,,,,,,,,,,,,,,,,,,,
1014A,-1.792116,2026-04-13T00:00:00+0000,2.8000000000000003,4.0,5.1,4.0,230.0,43.357075,230.0,DONOSTIA/SAN SEBASTIÁN AEROPUERTO,92.0,8.5,8.7,8.9,1015.8,0.6,8.7,1016.8,7.4,,10.0,,,,,,,,,,,,,,,,,
1021X,-1.878823,2026-04-13T00:00:00+0000,4.4,165.0,1.7,0.8,182.0,43.213834,132.0,ERRENTERIA  AÑARBE,97.0,6.9,6.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,
1025A,-2.256663,2026-04-13T00:00:00+0000,1.4,255.0,1.0,0.4,326.0,43.015553,327.0,SEGURA,96.0,6.5,6.6,6.6,,,,,,,,,,,,,,,,,,,,,,,,
1025X,-2.232037,2026-04-13T00:00:00+0000,2.2,255.0,0.9,0.3,297.0,43.054634,97.0,BEASAIN  ARRIARAN,96.0,6.6,6.6,6.7,,,,,,,,,,,,,,,,,,,,,,,,
1026X,-2.184273,2026-04-13T00:00:00+0000,1.9999999999999998,290.0,2.1,0.7,54.0,43.058158,145.0,ORDIZIA,97.0,6.2,6.2,6.2,,,,,,,,,,,,,,,,,,,,,,,,
1033X,-1.950836,2026-04-13T00:00:00+0000,0.8,520.0,2.6,0.4,166.0,43.084999,115.0,ARESO ,97.0,4.9,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
1037X,-2.337095,2026-04-13T00:00:00+0000,3.8000000000000003,460.0,,,,43.051797,,LEGAZPI,95.0,5.3,5.4,5.5,,,,,,,,,,,,,,,,,,,,,,,,
1037Y,-2.3175,2026-04-13T00:00:00+0000,3.6,420.0,8.3,2.4,298.0,43.079917,305.0,ZUMARRAGA,93.0,5.7,5.7,6.0,965.3,0.9,,1015.8,4.6,,22.0,,,,,,,,,,,,,,,,,
1038X,-2.267175,2026-04-13T00:00:00+0000,3.8000000000000003,180.0,5.7,0.9,135.0,43.172576,245.0,AZPEITIA,97.0,7.2,7.2,7.5,,,,,,,,,,,,,,,,,,,,,,,,
1041A,-2.251035,2026-04-13T00:00:00+0000,0.7,28.0,6.9,3.4,262.0,43.302139,237.0,ZUMAIA,92.0,9.5,9.8,10.1,1013.3,,,1016.7,8.5,,,,,,,107.0,,,,,,,,,,,,
1044X,-2.589645,2026-04-13T00:00:00+0000,1.0,617.0,,,,43.057835,,ARAMAIO  ETXAGUEN,92.0,4.8,4.8,5.0,,,,,,,,,,,,,,,,,,,,,,,,
1048X,-2.465715,2026-04-13T00:00:00+0000,0.2,308.0,,,,43.02505,,ARETXABALETA,94.0,6.3,6.3,6.4,,,,,,,,,,,,,,,,,,,,,,,,
1049N,-2.495827,2026-04-13T00:00:00+0000,0.6000000000000001,470.0,6.6,2.7,292.0,43.138333,295.0,ELGETA,98.0,5.4,5.4,5.5,,,,,,,,,,,,,,,,,,,,,,,,
1052A,-2.397148,2026-04-13T00:00:00+0000,0.8,150.0,12.4,4.7,274.0,43.31722,275.0,MUTRIKU,91.0,7.6,7.8,7.8,,,,,,,,,,,,,,,,,,,,,,,,
1056K,-2.671184,2026-04-13T00:00:00+0000,0.2,45.0,6.1,1.2,179.0,43.342388,300.0,FORUA,94.0,8.1,8.3,8.4,,,,,,,,,,,,,,,,,,,,,,,,
1057B,-2.752762,2026-04-13T00:00:00+0000,0.4,93.0,17.9,11.5,276.0,43.453906,280.0,MATXITXAKO,83.0,9.4,9.5,10.1,,,,,,,,,,,,,,,,,,,,,,,,
1059X,-3.021602,2026-04-13T00:00:00+0000,0.5,81.0,12.4,6.8,297.0,43.375086,303.0,PUNTA GALEA ,87.0,8.8,8.9,9.2,,1.6,,,,,14.0,,,,,,,,,,,,,,,,,
1060X,-3.005452,2026-04-13T00:00:00+0000,0.0,240.0,1.7,0.4,297.0,43.050241,147.0,AMURRIO,95.0,6.9,6.9,6.9,,,,,,,,,,,,,,,,,,,,,,,,
1064L,-2.860274,2026-04-13T00:00:00+0000,0.4,270.0,1.7,0.3,162.0,43.096333,175.0,OROZKO  IBARRA,100.0,6.7,6.7,6.9,,,,,,,,,,,,,,,,,,,,,,,,
1069Y,-2.644187,2026-04-13T00:00:00+0000,0.2,747.0,,,,43.099233,,ABADIÑO  URKIOLA,91.0,3.6,3.7,3.8,,,,,,,,,,,,,,,,,,,,,,,,
1074C,-2.706153,2026-04-13T00:00:00+0000,1.4,100.0,4.9,0.6,304.0,43.202893,312.0,AMOREBIETA-ETXANO,97.0,7.5,7.5,7.9,,,,,,,,,,,,,,,,,,,,,,,,
1078C,-3.209649,2026-04-13T00:00:00+0000,0.2,210.0,,,,43.180575,,BALMASEDA,91.0,6.9,7.0,7.1,,,,,,,,,,,,,,,,,,,,,,,,
1078I,-3.104777,2026-04-13T00:00:00+0000,0.1,208.0,4.0,1.5,307.0,43.203384,298.0,GÜEÑES,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,
1082,-2.906304,2026-04-13T00:00:00+0000,1.7,42.0,4.6,0.8,100.0,43.297952,270.0,BILBAO AEROPUERTO,91.0,8.5,8.5,8.7,1012.8,0.5,10.8,1017.6,7.1,,79.0,0.0,,,,,,,,,,,,,,,,
1083B,-3.168615,2026-04-13T00:00:00+0000,0.2,177.0,7.0,0.7,257.0,43.279722,260.0,SOPUERTA,93.0,7.2,7.3,7.4,,,,,,,,,,,,,,,,,,,,,,,,
1083L,-3.233884,2026-04-13T00:00:00+0000,0.9,45.0,,,257.0,43.39473,266.0,CASTRO URDIALES-EDAR,91.0,8.0,8.1,8.4,,,,,6.7,,,,,,,186.0,,,,,,,,,,,,
